,zone,mean,std,min,max,var,time,spectral_index
20,20,0.07522352695465089,0.10555085489890352,-0.29156622290611267,0.20110957324504852,0.011140982969889386,2021-03-11 04:57:01.024,NDWI
21,21,-0.03372683945824118,0.18358593587475402,-0.431527704000473,0.2299012690782547,0.03370379585100929,2021-03-11 04:57:01.024,NDWI
22,22,-0.2233212845666068,0.1043524124350011,-0.38119909167289734,-0.052119527012109756,0.010889425981004572,2021-03-11 04:57:01.024,NDWI
0,0,0.07462616985565902,0.24382717796724748,-0.6433829665184021,0.9984214305877686,0.05945169271547178,2021-03-16 04:56:59.024,NDWI
1,1,-0.2792623079740084,0.0412289776059159,-0.425165593624115,-0.2449798732995987,0.001699828594429115,2021-03-16 04:56:59.024,NDWI
2,2,-0.22898481108925559,0.02441938332465077,-0.2935170829296112,-0.20378026366233826,0.0005963062819562321,2021-03-16 04:56:59.024,NDWI
3,3,-0.2510591915675572,0.03716420246902331,-0.36631685495376587,-0.21184508502483368,0.001381177945158558,2021-03-16 04:56:59.024,NDWI
4,4,-0.2769299776126177,0.02514584170986338,-0.3522617518901825,-0.24732333421707153,0.0006323133552975049,2021-03-16 04:56:59.024,NDWI
5,5,-0.25960056956221417,0.022905554979418975,-0.32297229766845703,-0.22267208993434906,0.0005246644489151854,2021-03-16 04:56:59.024,NDWI
6,6,-0.29338951110839845,0.0253134858718649,-0.3791838586330414,-0.26213589310646057,0.0006407725669851039,2021-03-16 04:56:59.024,NDWI
7,7,-0.309962408883231,0.04293859411938435,-0.4310998320579529,-0.2633766233921051,0.0018437228649492287,2021-03-16 04:56:59.024,NDWI
8,8,-0.2755900382995605,0.03411146851855771,-0.37806570529937744,-0.2385844886302948,0.0011635922844925538,2021-03-16 04:56:59.024,NDWI
9,9,-0.24286847365529915,0.017356314531486824,-0.2710084021091461,-0.20940648019313812,0.00030124165411590066,2021-03-16 04:56:59.024,NDWI
10,10,-0.25623044967651365,0.026503149095328596,-0.3195682764053345,-0.22535961866378784,0.0007024169119692169,2021-03-16 04:56:59.024,NDWI
11,11,-0.25569681440080916,0.021859482988248025,-0.29253730177879333,-0.22749590873718262,0.0004778369965135048,2021-03-16 04:56:59.024,NDWI
12,12,-0.2276215326218378,0.016428397814465305,-0.2591826319694519,-0.20421752333641052,0.0002698922547503284,2021-03-16 04:56:59.024,NDWI
13,13,-0.24763688587007068,0.02928643554170896,-0.3291323184967041,-0.2118643969297409,0.0008576953067386737,2021-03-16 04:56:59.024,NDWI
14,14,-0.2802465500370149,0.03212719919231509,-0.3715822100639343,-0.24572058022022247,0.0010321569279426914,2021-03-16 04:56:59.024,NDWI
15,15,-0.3817613124847412,0.011935015547146797,-0.4006775915622711,-0.34835079312324524,0.00014244459611063577,2021-03-16 04:56:59.024,NDWI
16,16,-0.36446709632873536,0.014612792528471075,-0.38920456171035767,-0.3425460457801819,0.00021353370548014006,2021-03-16 04:56:59.024,NDWI
